Row,Timestamp,Duration,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Event Group,Event Label,Event Text,Event Index,Gaze X,Gaze Y,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation Index by Stimulus,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,Saccade Index,Saccade Index by Stimulus,Saccade Start,Saccade End,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration
8184,64594,120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8185,64598,,551.0,506.0,585.0,566.0,3.46044921875,4.3504791259765625,64670.62300000001,600.956298828125,602.2686767578125,0.6552327275276184,0.4282960593700409,0.4949411451816559,0.4138951301574707,0.0,0.0,,,,,568.0,536.0,568.0,536.0,601.612487792969,48.9937860095545,-694.868010671533,,,,,,,,,255.0,,64585.63175,64652.2812,66.6494499999972,4.30363508232866,217.284490245667,11713.730858541001,-10094.0222857341
8186,64606,,-1.0,-1.0,575.0,529.0,-1.0,-1.0,64678.944,-1.0,602.08203125,-1.0,-1.0,0.494931697845459,0.4138724207878113,4.0,0.0,,,,,575.0,529.0,575.0,529.0,602.08203125,54.3633454572079,645.5814855187281,,,,,,,,,255.0,,64585.63175,64652.2812,66.6494499999972,4.30363508232866,217.284490245667,11713.730858541001,-10094.0222857341
8187,64615,,524.0,501.0,556.0,541.0,-1.0,-1.0,64687.27800000001,600.9783325195312,601.9797973632812,0.6553322672843933,0.4282885789871216,0.4953581988811493,0.4137549400329589,0.0,0.0,,,,,540.0,521.0,540.0,521.0,601.479064941406,119.79110831007,7850.326700525999,,,,,,,,,255.0,,64585.63175,64652.2812,66.6494499999972,4.30363508232866,217.284490245667,11713.730858541001,-10094.0222857341
8188,64623,,546.0,512.0,499.0,454.0,3.803375244140625,4.3436431884765625,64695.60100000001,600.89892578125,601.3612060546875,0.655347466468811,0.42795073986053467,0.4956739246845245,0.4137798249721527,0.0,0.0,,,,,522.5,483.0,522.5,483.0,601.130065917969,217.284490245667,11713.730858541001,,,,,,,,,255.0,,64585.63175,64652.2812,66.6494499999972,4.30363508232866,217.284490245667,11713.730858541001,-10094.0222857341
8189,64631,,-1.0,-1.0,416.0,484.0,-1.0,-1.0,64703.91600000001,-1.0,601.1243286132812,-1.0,-1.0,0.4958407580852509,0.4136706590652465,4.0,0.0,,,,,416.0,484.0,416.0,484.0,601.124328613281,133.256801728049,-10094.0222857341,,,,,,,,,255.0,,64585.63175,64652.2812,66.6494499999972,4.30363508232866,217.284490245667,11713.730858541001,-10094.0222857341
8190,64640,,491.0,499.0,396.0,451.0,-1.0,-1.0,64712.246,598.44091796875,601.0228271484375,0.6556499600410461,0.4278157353401184,0.4960122108459473,0.41353493928909296,0.0,0.0,,,,,443.5,475.0,443.5,475.0,599.731872558594,70.3944394226437,-7553.03050720817,,,,,,,,,255.0,,64585.63175,64652.2812,66.6494499999972,4.30363508232866,217.284490245667,11713.730858541001,-10094.0222857341
8191,64648,,-1.0,-1.0,456.0,498.0,-1.0,4.3427581787109375,64720.624,-1.0,600.9169311523438,-1.0,-1.0,0.4959706068038941,0.4134917557239533,4.0,0.0,,,,,456.0,498.0,456.0,498.0,600.916931152344,62.9836215403718,-884.9160416349222,,,,,,,,,255.0,,64585.63175,64652.2812,66.6494499999972,4.30363508232866,217.284490245667,11713.730858541001,-10094.0222857341
8192,64656,120000.0,-1.0,-1.0,458.0,509.0,-1.0,-1.0,64728.958,-1.0,601.487548828125,-1.0,-1.0,0.4957708418369293,0.4135344326496124,4.0,0.0,,,,,458.0,509.0,458.0,509.0,601.487548828125,17.9921983822379,-5396.2079205214595,,,,,,,,,,,,,,,,,
8193,64665,,-1.0,-1.0,453.0,508.0,-1.0,-1.0,64737.242999999995,-1.0,601.6464233398438,-1.0,-1.0,0.4959720075130463,0.41360101103782654,4.0,0.0,,,,,453.0,508.0,453.0,508.0,601.646423339844,14.374859182432196,-436.781762395112,,,,,,,,,,,,,,,,,
